2018-04-22 13:57:28  [ INFO ]  [ method:com.dull.CDSpace.view.FileManagerView.initTreeItems(?:?) ]  Init tree file is.\project\MRAutoSpace\01 chapter2
2018-04-22 13:57:32  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:32  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:35  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:35  [ DEBUG ]  [ method:com.dull.CDSpace.view.BorderCenterView.setContent(?:?) ]  selected treeItem file path is .\project\MRAutoSpace
2018-04-22 13:57:35  [ INFO ]  [ method:com.dull.CDSpace.view.BorderCenterView.loadTab(?:?) ]  tab's size is1
2018-04-22 13:57:36  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:36  [ DEBUG ]  [ method:com.dull.CDSpace.view.BorderCenterView.setContent(?:?) ]  selected treeItem file path is .\project\MRAutoSpace
2018-04-22 13:57:36  [ INFO ]  [ method:com.dull.CDSpace.view.BorderCenterView.loadTab(?:?) ]  tab's size is1
2018-04-22 13:57:38  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:38  [ DEBUG ]  [ method:com.dull.CDSpace.view.BorderCenterView.setContent(?:?) ]  selected treeItem file path is .\project\MRAutoSpace
2018-04-22 13:57:38  [ INFO ]  [ method:com.dull.CDSpace.view.BorderCenterView.loadTab(?:?) ]  tab's size is1
2018-04-22 13:57:38  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace\01 chapter2
2018-04-22 13:57:38  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:38  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace\01 chapter2
2018-04-22 13:57:39  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:39  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace\01 chapter2
2018-04-22 13:57:39  [ DEBUG ]  [ method:com.dull.CDSpace.model.NodeItem.toString(?:?) ]  set tree name .\project\MRAutoSpace
2018-04-22 13:57:39  [ DEBUG ]  [ method:com.dull.CDSpace.view.BorderCenterView.setContent(?:?) ]  selected treeItem file path is .\project\MRAutoSpace
2018-04-22 13:57:39  [ INFO ]  [ method:com.dull.CDSpace.view.BorderCenterView.loadTab(?:?) ]  tab's size is1
2018-04-22 13:57:40  [ DEBUG ]  [ method:com.dull.CDSpace.view.BorderCenterView.setContent(?:?) ]  selected treeItem file path is .\project\MRAutoSpace\01 chapter2\00 httpServer.server
2018-04-22 13:57:40  [ INFO ]  [ method:com.dull.CDSpace.view.BorderCenterView.loadTab(?:?) ]  tab's size is1
